Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
COORDINACIÓN DE EDUCACIÓN CONTINUA;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;CURSOS APROBADOS Y EJECUTADOS;15;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DECANATO DE VINCULACIÓN;FORTALECER LA VINCULACION INSTITUCIONAL A TRAVES DE LA OFERTA DE SERVICIOS DE CALIDAD A LA SOCIEDAD;TRABAJADORES, EMPLEADOS, DOCENTES QUE CUENTAN CON FICHA DE TRABAJO SOCIAL;16;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;NUMERO DE PROYECTOS CON EVALUACION;9;
;;NUMERO DE ACTIVIDADES DE VINCULACION CON LA SOCIEDAD;4;
VICERRECTORADO ADMINISTRATIVO;SOCIALIZAR DE SERVICIOS DE BIENESTAR ESTUDIANTIL, SERVICIOS ADMINISTRATIVOS, TALENTO HUMANO Y CODIGO DE ETICA;SOCIALIZACION DE SERVICIOS DE BIENESTAR ESTUDIANTIL, SERVICIOS ADMINISTRATIVOS, TALENTO HUMANO Y CODIGO DE ETICA;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DIRECCION DE BIENESTAR ESTUDIANTIL Y POLITÉCNICO;EL FORTALECIMIENTO DE LA GESTIÓN A TRAVÉS DE LA EJECUCIÓN DE LOS PROCESOS Y FUNCIONES CORRESPONDIENTES A DIRECCION DE BIENESTAR ESTUDIANTIL Y POLITECNICO;TRABAJADORES, EMPLEADOS, DOCENTES QUE CUENTAN CON FICHA DE TRABAJO SOCIAL;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;ESTUDIANTES POLITECNICOS QUE CUENTAN CON FICHA SOCIOESTUDIANTIL;100%;
;;SEGURO DE VIDA Y ACCIDENTES PERSONALES PARA LAS Y LOS ESTUDIANTES DE LA ESPOCH;100%;
;;SOCIALIZACION DEL PROYECTO POR UNA ESPOCH CON VALORES;100%;
DIRECCIÓN DE TALENTO HUMANO;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;EJECUCION DE LA NOMINA INSTITUCIONAL;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;CAPACITACIONES;100%;
;;EVALUACION DE DESEMPENO DEL PERSONAL ADMINISTRATIVO Y DE SERVICIOS;100%;
DIRECCIÓN ADMINISTRATIVA;GESTIONAR LOS RECURSOS PARA LA EJECUCIÓN ÓPTIMA DE LOS PROCESOS ADMINISTRATIVOS;BIENES ASEGURADOS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;MOVILIDAD NACIONAL E INTERNACIONAL ENTRANTE Y SALIENTE EJECUTADA;100%;
DIRECCIÓN DE INFRAESTRUCTURA Y MANTENIMIENTO;PREVENIR Y CORREGIR EL DETERIORO DE LA INFRAESTRUCTURA FÍSICA INSTITUCIONAL A TRAVÉS DE MANTENIMIENTOS DIRIGIDOS A LA CONSERVACIÓN Y ACTUALIZACIÓN DE LA INFRAESTRUCTURA FÍSICA, MEDIANTE EL MANTENIMIENTO PREVENTIVO, CORRECTIVO, ADECUACIONES Y REMODELACIONES;# DE OBRAS DE REMODELACIÓN O ADECUACIÓN ;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DIRECCIÓN DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACIÓN;OPTIMIZAR EL ACCESO, DISPONIBILIDAD Y GESTIÓN DE LOS RECURSOS BIBLIOGRÁFICOS Y DE APRENDIZAJE EN LA ESPOCH, FORTALECIENDO LA ESTRUCTURA Y EFECTIVIDAD DE LOS PROCESOS EN LA DIRECCIÓN DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACIÓN, CON EL FIN DE MEJORAR LA CALIDAD DE APOYO A LA DOCENCIA, INVESTIGACIÓN Y APRENDIZAJE;SISTEMAS INFORMÁTICOS OPERATIVOS DE USO DE LA DBRAI;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;ACTUALIZACION DE REGISTROS BIBLIOGRAFICOS;100%;
;;PROCESO TÉCNICO DE TRABAJOS DE TITULACIÓN DE POSGRADO;100%;
;;SERVICIOS Y RECURSOS VIRTUALES DE BIBLIOTECA;100%;
;;CONVENIOS INTERINSTITUCIONALES;100%;
CENTRO DE DEPORTES;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;MANTENIMIENTO DE LOS ESCENARIOS DEPORTIVOS;2;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;IMPLEMENTOS DEPORTIVOS;100%;
CENTRO DE ARTE, CULTURA E INTERCULTURALIDAD;FORTALECER LA GESTIÓN INSTITUCIONAL PARA LA FORMACIÓN INTEGRAL, A TRAVÉS DE LA EJECUCIÓN DE LOS PROCESOS Y FUNCIONES CORRESPONDIENTES AL CENTRO DE ARTE CULTURA E INTERCULTURALIDAD;TALLERES DE FORMACION ARTISTICA;9;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;MANTENIMIENTO DE LAS AGRUPACIONES DE REPRESENTACIÓN INSTITUCIONAL;9;
;;EVENTOS DE REPRESENTACIÓN INSTITUCIONAL;100%;
UNIDAD DE BIENES Y BODEGA;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;PORCENTAJE DE CONSTATACIONES FISICAS;80%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;REGISTRO DE INGRESOS Y EGRESOS DE BIENES INSTITUCIONALES;100%;
UNIDAD DE GESTIÓN DE TRANSPORTE;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;PARQUE AUTOMOTOR EN OPTIMAS CONDICIONES;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;MATRICULACION;34;
UNIDAD DE SEGURIDAD INSTITUCIONAL;GARANTIZAR LA SEGURIDAD INTERNA INSTITUCIONAL DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, SUS EXTENSIONES ACADÉMICAS Y ESTACIONES EXPERIMENTALES;PUNTOS DE SERVICIO INSTITUCIONAL;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
UNIDAD DE CONTROL QUÍMICO AMBIENTAL;IMPLEMENTAR UN SISTEMA INTEGRAL PARA LA GESTIÓN DE RESIDUOS SÓLIDOS, PELIGROSOS Y ESPECIALES, Y EL CONTROL DE PLAGAS EN LA ESPOCH.;GENERACIÓN DE RESIDUOS PELIGROSOS A NIVEL INSTITUCIONAL;2;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;PLAGAS CONTROLADAS DESPUES DE CADA CICLO DE TRATAMIENTO EJECUTADAS;50%;
UNIDAD DE COMPRAS PÚBLICAS;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH;PLAN ANUAL DE CONTRATACION PUBLICA EJECUTADO;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
CENTRO DE ATENCIÓN DE SALUD INTEGRAL;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;N° DE PACIENTES ATENDIDOS;26000;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;ATENCIÓN DE ESTUDIANTES;100%;
