Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
98;Profesor Titular Principal de Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;11420;Personal Academico Principal;1,226.15;14713.8;102.18;39.17;0;0;141.35
99;Asistente de Capacitacion;1.Servicio Civil Publico (Losep);15772;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
100;Asistente de Presupuesto;1.Servicio Civil Publico (Losep);15767;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
101;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11425;Personal Academico Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
102;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16034;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
103;Asistente de Laboratorio de Ensayo;1.Servicio Civil Publico (Losep);15880;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
104;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13030;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
105;Responsable de Patrocinio Judicial y Extrajudicial;1.Servicio Civil Publico (Losep);16061;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
106;Enfermera;1.Servicio Civil Publico (Losep);15851;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
107;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11445;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
108;Analista de Investigacion y Proyeccion Social;1.Servicio Civil Publico (Losep);15916;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
109;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11455;Profesor Principal;4,346.97;52163.64;362.25;39.17;0;0;401.42
110;Responsable de Laboratorio de Ensayos;1.Servicio Civil Publico (Losep);15700;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
111;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11635;Profesor Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
112;Especialista de Presupuesto;1.Servicio Civil Publico (Losep);15750;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
113;Responsable de Infraestructura;1.Servicio Civil Publico (Losep);15717;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
114;Asistente de Laboratorio de Ensayo;1.Servicio Civil Publico (Losep);16051;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
115;Oficinista;1.Servicio Civil Publico (Losep);15610;Uep Nivel Administrativo A5;733;8796;61.08;39.17;0;0;100.25
116;Especialista de Diseño y Planificacion Mecanica;1.Servicio Civil Publico (Losep);15785;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
117;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12100;Personal Academico Agregado;3,744.70;44936.4;312.06;39.17;0;0;351.23
118;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12720;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
119;Director de  Gestion de la Informacion y Procesos;1.Servicio Civil Publico (Losep);1;Uep Nivel Directivo A1;3,996.04;47952.48;333;39.17;0;0;372.17
120;Especialista de Contabilidad 1;1.Servicio Civil Publico (Losep);15809;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
121;Tecnico de Archivo;1.Servicio Civil Publico (Losep);15678;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;39.17;0;0;114.25
