Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
90;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;20;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
91;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2117;AUTORIDADES ACADEMICAS NIVEL 1;3,744.70;3,744.70;312.06;40.17;0.00;0.00;4,096.93
92;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2135;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
93;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2130;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
94;COORDINADOR/A DE IDIOMAS;3.OTROS REGIMENES ESPECIALES;2160;AUTORIDADES ACADEMICAS NIVEL 1;3,438.08;3,438.08;286.51;40.17;0.00;0.00;3,764.76
95;COORDINADOR/A DEL CENTRO DE DEPORTES;3.OTROS REGIMENES ESPECIALES;2162;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
96;COORDINADOR/A ADMINISTRATIVO DE COMPRAS PUBLICAS;1.SERVICIO CIVIL PUBLICO (LOSEP);21;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
97;COORDINADOR/A DE BIENES Y BODEGAS;1.SERVICIO CIVIL PUBLICO (LOSEP);22;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
98;COORDINADOR/A DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);15;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
99;COORDINADOR/A DE GESTION TRIBUTARIA;1.SERVICIO CIVIL PUBLICO (LOSEP);20;UEP NIVEL DIRECTIVO A2;2,000.00;2,000.00;166.67;40.17;0.00;0.00;2,206.84
