Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
78;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;10;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
79;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2166;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
80;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2122;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
81;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;18;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
82;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;17;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
83;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;4;AUTORIDADES ACADEMICAS NIVEL 1;4,300.00;8,600.00;716.66;80.33;0.00;0.00;9,396.99
84;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2129;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
85;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
86;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;13;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
87;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;19;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
88;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2120;AUTORIDADES ACADEMICAS NIVEL 1;4,999.05;9,998.10;833.18;80.33;0.00;0.00;10,911.61
89;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;20;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
90;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2117;AUTORIDADES ACADEMICAS NIVEL 1;3,744.70;7,489.40;624.12;80.33;0.00;0.00;8,193.85
91;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2135;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
92;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2130;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
93;COORDINADOR/A DE EDUCACION CONTINUA;3.OTROS REGIMENES ESPECIALES;2460;AUTORIDADES ACADEMICAS NIVEL 1;3,744.70;7,489.40;624.12;80.33;0.00;0.00;8,193.85
94;COORDINADOR/A DE IDIOMAS;3.OTROS REGIMENES ESPECIALES;2160;AUTORIDADES ACADEMICAS NIVEL 1;3,438.08;6,876.16;573.02;80.33;0.00;0.00;7,529.51
95;COORDINADOR/A DEL CENTRO DE DEPORTES;3.OTROS REGIMENES ESPECIALES;2162;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
96;COORDINADOR/A ADMINISTRATIVO DE COMPRAS PUBLICAS;1.SERVICIO CIVIL PUBLICO (LOSEP);21;UEP NIVEL DIRECTIVO A2;2,000.00;4,000.00;333.34;80.33;0.00;0.00;4,413.67
