Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1294;Decano/A De Facultad;3.Otros Regimenes Especiales;50;Autoridades Academicas Nivel 3;4306.13;51673.56;358.84;40.17;0;0;399.01
1295;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8640;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1296;Director De Bienestar Politecnico;1.Servicio Civil Publico (Losep);232;Uep Nivel Directivo A1;3996.04;47952.48;333;40.17;0;0;373.17
1297;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8772;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1298;Especialista Administrativo Cec;1.Servicio Civil Publico (Losep);15754;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
1299;Responsable De Planificación;1.Servicio Civil Publico (Losep);15692;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
1300;Auxiliar De Servicios;2.Codigo Del Trabajo;37779;Nivel 1;561;6732;46.75;40.17;0;0;86.92
1301;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12365;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
1302;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8653;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1303;Analista De Sismologia Y Vulcanologia 1;1.Servicio Civil Publico (Losep);4107;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1304;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11130;Personal Academico Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1305;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8720;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1306;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12790;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
1307;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8764;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1308;Tecnico/A Docente 5 Tiempo Completo;3.Otros Regimenes Especiales;8829;Personal De Apoyo (Universidades);1676;20112;139.67;40.17;0;0;179.84
1309;Responsable De Laboratorio De Ensayos;1.Servicio Civil Publico (Losep);15720;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
1310;Analista De Redes De Instrumentacion Del Geofisico 2;1.Servicio Civil Publico (Losep);4121;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1311;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8585;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1312;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8616;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1313;Decano/A De Facultad;3.Otros Regimenes Especiales;65;Autoridades Academicas Nivel 3;4306.13;51673.56;358.84;40.17;0;0;399.01
1314;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13545;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1315;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12260;Personal Academico Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
1316;Especialista De Tecnologias De La Información Y Comunicaciones 1.;1.Servicio Civil Publico (Losep);15789;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1317;Analista De Laboratorios De Investigacion Y Control Ambiental 2;1.Servicio Civil Publico (Losep);15944;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1318;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8539;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1319;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8571;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1320;Tecnico De Laboratorio De Investigacion Y Control Ambiental;1.Servicio Civil Publico (Losep);15902;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;40.17;0;0;115.25
1321;Tecnico/A Docente 3 Tiempo Completo;3.Otros Regimenes Especiales;8721;Personal De Apoyo (Universidades);1212;14544;101;40.17;0;0;141.17
1322;Asistente De Secretaria General;1.Servicio Civil Publico (Losep);15623;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1323;Analista De Servicios Y Soporte Al Usuario 2;1.Servicio Civil Publico (Losep);10110;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
