Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Partes y Repuestos;10473,36;-2492,03;7981,33;7141,33;424;0;0;7557,33;7981,33;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Fletes y Maniobras;5578,81;-5578,81;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;20000;-9566,83;10433,17;9329,28;803,89;803,89;803,89;9629,28;9629,28;0;7,71;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Membrecias;26210;7090,09;33300,09;0;22054,63;22054,63;22054,63;11245,46;11245,46;0;66,23;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;77254,45;-25454,45;51800;11558,77;33197,68;33197,68;33197,68;18602,32;18602,32;0;64,09;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;55000;40557,26;95557,26;5000;64504,04;64504,04;64504,04;31053,22;31053,22;0;67,5;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Fiscalizacion e Inspecciones Tecnicas;0;39071,84;39071,84;7394,34;31677,5;13647,63;13647,63;7394,34;25424,21;0;34,93;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Arrendamiento y Licencias de Uso de Paquetes Informaticos;15778,25;-15128,25;650;0;650;650;650;0;0;0;100;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Equipos Medicos;7866,04;-3065,76;4800,28;2400;1468,43;217,84;217,84;3331,85;4582,44;0;4,54;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Equipos Odontologicos;0;165;165;0;165;165;165;0;0;0;100;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Compensacion por Transporte;22841;727;23568;0;16933,5;16933,5;16933,5;6634,5;6634,5;0;71,85;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Por Cargas Familiares;8948;468;9416;0;6520,8;6520,8;6520,8;2895,2;2895,2;0;69,25;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Subrogacion;6217,91;18782,09;25000;0;3093,42;3093,42;3093,42;21906,58;21906,58;0;12,37;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;17271170,4;-431239,89;16839930,51;0;12648110,82;12648110,82;12648110,82;4191819,69;4191819,69;0;75,11;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);201661,37;-178470,18;23191,19;17137,25;2048,59;2048,59;2048,59;21142,6;21142,6;0;8,83;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Herramientas (Mantenimiento y Reparacion);3000;-1600;1400;0;0;0;0;1400;1400;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;3314967,74;-1968670,05;1346297,69;372748,78;700721,37;700721,37;699635,37;645576,32;645576,32;1086;52,05;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;30470,1;-13740,44;16729,66;0;15878,79;15878,79;15878,79;850,87;850,87;0;94,91;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;110600,58;-38807,86;71792,72;17776,09;42463,86;35388,68;35388,68;29328,86;36404,04;0;49,29;;;;;;;;;;;;
580000;TRANSFERENCIAS O DONACIONES CORRIENTES;Becas y Ayudas Economicas;1139407,82;-15011,69;1124396,13;0;844520,42;844520,42;844520,42;279875,71;279875,71;0;75,11;;;;;;;;;;;;
580000;TRANSFERENCIAS O DONACIONES CORRIENTES;A Jubilados Patronales;2186666,13;-178765,53;2007900,6;0;1652898,95;1652898,95;1652898,95;355001,65;355001,65;0;82,32;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;0;720;720;0;0;0;0;720;720;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Accesorios e Insumos Quimicos y Organicos;0;1234,68;1234,68;1040,8;0;0;0;1234,68;1234,68;0;0;;;;;;;;;;;;
750000;OBRAS PUBLICAS;Alcantarillado;0;6300;6300;0;5900;5900;5900;400;400;0;93,65;;;;;;;;;;;;
