Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles;;;;;;;;;;;;;;;;;;;;;;;
UNIDAD DE GESTIÓN DE TRANSPORTE;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;REALIZAR LOS MANTENIMIENTOS PREVENTIVOS CORRECTIVOS A VEHICULOS INSTITUCIONALES;39;;;;;;;;;;;;;;;;;;;;;;;;
;;MATRICULACION VEHICULAR, PEAJES Y RASTREO SATELITAL;39;;;;;;;;;;;;;;;;;;;;;;;;
UNIDAD DE SEGURIDAD INSTITUCIONAL;GARANTIZAR LA DETECCION Y PREVENCION DE RIESGOS EN CUANTO A HURTO Y/O ROBOS AL INTERNO DE LA MATRIZ, SEDES Y ESTACIONES EXPERIMENTALES DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;32 PUNTOS DE SERVICIO INSTITUCIONAL DE 24 DE LUNES A DOMINGO PERMANENTE MENSUAL SIN ARMA EJECUTADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
UNIDAD DE CONTROL QUÍMICO AMBIENTAL;FORTALECER LA GESTION DE LOS PROCESOS DE LA UNIDAD DE CONTROL QUIMICO AMBIENTAL;SISTEMA INTEGRAL DE GESTION AMBIENTAL Y CONTROL QUIMICO IMPLEMENTADO;1;;;;;;;;;;;;;;;;;;;;;;;;
UNIDAD DE COMPRAS PÚBLICAS;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH;PLAN ANUAL DE CONTRATACION PUBLICA EJECUTADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CAPACITACION EN CONTRATACION PUBLICA;100%;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO DE ATENCIÓN DE SALUD INTEGRAL;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;PACIENTES ATENDIDOS;15000;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
