Numeracion;Puesto Institucional;Regimen laboral al que pertenece;Numero de partida presupuestaria;Grado jerarquico o escala al que pertenece el puesto;Remuneracin mensual unificada;Remuneracion unificada (anual);Decimo Tercera Remuneracion;Decima Cuarta Remuneracion;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1893;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1894;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;120.213,00;1.442.556,00;120.213,00;482;0;0;120.695,00
1895;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1896;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;9.032,00;108.384,00;9.032,00;482;0;0;9.514,00
1897;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1898;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1899;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1900;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1901;PROFESOR/A OCASIONAL TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;85.804,00;1.029.648,00;85.804,00;482;0;0;86.286,00
1902;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1903;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1904;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1905;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;9.032,00;108.384,00;9.032,00;482;0;0;9.514,00
1906;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1907;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1908;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1909;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;108.577,00;1.302.924,00;108.577,00;482;0;0;109.059,00
1910;TECNICO (A) DE LABORATORIO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;108.577,00;1.302.924,00;108.577,00;482;0;0;109.059,00
1911;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1912;ASESOR 4;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;2.418,00;29.016,00;2.418,00;482;0;0;2.900,00
1913;ASESOR 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;3.247,00;38.964,00;3.247,00;482;0;0;3.729,00
1914;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1915;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
