Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1059;CHOFER;2.CODIGO DEL TRABAJO;488;NIVEL 1;685,37;2.741,48;513,99;344,97;0;0;858,96
1060;CONSERJE;2.CODIGO DEL TRABAJO;243;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
1061;ALBANIL;2.CODIGO DEL TRABAJO;338;NIVEL 2;578;2.312,00;433,53;344,97;0;0;778,5
1062;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23865;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1063;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;1160;PERSONAL ACADEMICO PRINCIPAL;3744,7;14.978,80;2.808,54;344,97;0;0;3.153,51
1064;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;16;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
1065;DIRECTOR/A DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);3;UEP NIVEL DIRECTIVO A2;2734;10.936,00;2.050,47;344,97;0;0;2.395,44
1066;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23020;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1067;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23511;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1068;AUXILIAR DE LABORATORIO;2.CODIGO DEL TRABAJO;289;NIVEL 7;763;3.052,00;572,22;344,97;0;0;917,19
1069;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23322;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
1070;CHOFER;2.CODIGO DEL TRABAJO;334;NIVEL 3;596;2.384,00;447,03;344,97;38,44;0;830,44
1071;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2137;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
1072;ABOGADO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2781;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1073;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23320;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1074;COORDINADOR/A DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);15;UEP NIVEL DIRECTIVO A2;2000;8.000,00;1.500,03;344,97;0;0;1.845,00
1075;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;285;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
1076;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23595;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1077;ENFERMERO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);2543;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1078;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23655;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1079;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23656;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1080;CONSERJE;2.CODIGO DEL TRABAJO;217;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
1081;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23749;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
1082;ABOGADO DE NORMATIVA Y CONSULTA 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2551;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
1083;TECNICO DOCENTE 4;3.OTROS REGIMENES ESPECIALES;2655;PERSONAL DE APOYO (UNIVERSIDADES);1734;6.936,00;1.300,50;344,97;0;0;1.645,47
1084;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23527;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1085;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1920;PERSONAL ACADEMICO AGREGADO;3744,7;14.978,80;2.808,54;344,97;0;0;3.153,51
1086;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;296;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
1087;ANALISTA DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2764;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
