TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio ;;;;;;;;;;;;;;;;;
NACIONAL;287.CP.2024;"""CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL PARA EL ASESORAMIENTO Y CAPACITACIÓN DE LOS PROCESOS DE ACREDITACIÓN INTERNACIONAL DE CARRERAS Y PROGRAMAS ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL";"02-05-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;311.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA COMPAÑÍA RIOBAMBA BREWING CO. RBCO S.A.S Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES DE LA CARRERA DE INGENIERÍA QUÍMICA MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES Y TRABAJOS DE TITULACIÓN;"11/07/2024



";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;321.CP.2024;CONVENIO ENTRE LA ESPOCH Y LA UNIVERSIDAD ANDINA SIMÓN BOLÍVAR PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “PROBLEMAS CRÍTICOS, OPORTUNIDADES Y BUENAS PRÁCTICAS PARA PREVENIR Y RESPONDER A LA VIOLENCIA DE GÉNERO EN LA COMUNIDAD UNIVERSITARIA EN ECUADOR;"10/06/2024





";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
INTERNACIONAL;322.CP.2024;“ACUERDO DE COOPERACIOÌN INTERNACIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA UNIVERSIDAD DE WEST VIRGINIA;"7/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;334.CP.2024;“Convenio de Colaboración entre la Fundación Ayuda en Acción con la Escuela Superior Politécnica de Chimborazo-ESPOCH (en el marco del Contrato de Subvención NDICI LA/2023/453-114 financiado por Unión Europea);"28-05-2024







";40 MESES;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;350.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA FUNDACIÓN CIUDADANAS DEL MUNDO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO”;"10-07-2024









";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;354.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA UNIVERSIDAD TÉCNICA DE MANABÍ, PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “EVALUACIÓN DE LOS GLACIARES ANDINOS EN LOS VOLCANES CHIMBORAZO Y CARIHUAIRAZO, Y SU IMPACTO AMBIENTAL, SOCIAL Y CULTURAL, MEDIANTE ANÁLISIS MULTIVARIANTE.;"28-06-2024










";4 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;355.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DEL CHIMBORAZO ESPOCH Y EL GOBIERNO AUTÓNOMO DESCENTRALIZADO PARROQUIAL RURAL DE PUNGALÁ;"18-06-2024









";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;376.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL  ENTRE EL GOBIERNO AUTÓNOMO DECENTRALIZADO DEL CANTÓN PENIPE Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"SUSCRIPCIÓN:
01-07-2024

VIGENCIA:







";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;381.CP.2024;CONVENIO MARCO DE COOPERACION INTERINSTITUCIONAL ENTRE EL CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"10-07-2024







";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
