Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
DECANATO DE INNOVACIÓN, EMPRENDIMIENTO Y TRANSFERENCIA DE TECNOLOGÍA;FOMENTAR LA PARTICIPACIÓN DE LA COMUNIDAD POLITÉCNICA EN ACTIVIDADES RELACIONADAS CON LA INNOVACIÓN, EMPRENDIMIENTO Y TRANSFERENCIA DE TECNOLOGÍA;EVENTOS QUE PROMUEVEN LA CULTURA DE LA INNOVACIÓN;2;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;IDEA ESPOCH INN CUBATE 2026;2;
;;GESTIÓN DE LA PROPIEDAD INTELECTUAL;10;
COORDINACIÓN DE EDUCACIÓN CONTINUA;OPTIMIZAR LOS PROCESOS INTERNOS DE LA ESCUELA SUPERIOR POLITÉCNICA DEL CHIMBORAZO Y GARANTIZAR EL CUMPLIMIENTO DE LOS ESTÁNDARES ESTABLECIDOS POR EL MINISTERIO DE TRABAJO DEL ECUADOR, A FIN DE OBTENER Y MANTENER LA CALIFICACIÓN COMO OEC, FORTALECIENDO ASÍ LA CALIDAD DE LOS SERVICIOS OFRECIDOS Y POSICIONANDO A LA INSTITUCIÓN COMO UN REFERENTE EN EL SECTOR DE CERTIFICACIÓN DE PERSONAS;MANUAL DEL SISTEMA DE GESTIÓN DE LA CERTIFICACIÓN DE PERSONAS;1;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DECANATO DE VINCULACIÓN;"FORTALECER LAS RELACIONES DE LA INSTITUCIÓN CON LA SOCIEDAD, EL SECTOR PRODUCTIVO, PÚBLICO Y ACTORES ESTRATÉGICOS, MEDIANTE LA TRANSFERENCIA DE CONOCIMIENTO, CIENCIA, TECNOLOGÍA, INNOVACIÓN, EMPRENDIMIENTO, BUSCANDO IMPULSAR EL DESARROLLO SOCIAL Y ECONÓMICO SOSTENIBLE DEL TERRITORIO Y CONTRIBUIR A LA SOLUCIÓN DE SUS PROBLEMÁTICAS.
";INFORME DE GESTIÓN DEL DECANATO DE VINCULACIÓN 2026;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;ACTIVIDADES DE SEGUIMIENTO A GRADUADOS E INSERCIÓN LABORAL DIRIGIDAS A LOS GRADUADOS DE LA ESPOCH;4;
;;NUMERO DE PROYECTOS CON EVALUACION;18;
VICERRECTORADO ADMINISTRATIVO;OPTIMIZAR Y MODERNIZAR LA GESTIÓN ADMINISTRATIVA DE LA ESPOCH, ASEGURANDO QUE LOS PROCESOS INTERNOS SE DESARROLLEN CON EFICIENCIA, TRANSPARENCIA Y ESTÁNDARES DE CALIDAD, MEDIANTE EL USO DE HERRAMIENTAS ESTRATÉGICAS DE DIRECCIÓN QUE FORTALEZCAN LAS CAPACIDADES INSTITUCIONALES Y PERMITAN UNA TOMA DE DECISIONES OPORTUNA Y EFECTIVA.;SOCIALIZAR PRESENCIALMENTE LOS SERVICIOS DE BIENESTAR ESTUDIANTIL, SERVICIOS ADMINISTRATIVOS Y TALENTO HUMANO;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DIRECCION DE BIENESTAR ESTUDIANTIL Y POLITÉCNICO;OPTIMIZAR LA GESTIÓN Y PRESTACIÓN DE LOS SERVICIOS DE BIENESTAR ESTUDIANTIL Y POLITÉCNICO, GARANTIZANDO PROCESOS OPORTUNOS, ARTICULADOS Y TRANSPARENTES QUE RESPONDAN DE MANERA EFECTIVA A LAS NECESIDADES SOCIOECONÓMICAS, ACADÉMICAS Y PERSONALES DE LAS Y LOS ESTUDIANTES DURANTE EL AÑO 2026.;PORCENTAJE DE CASOS ATENDIDOS Y CON SEGUIMIENTO BIOPSICOSOCIAL RESPECTO DEL TOTAL DE CASOS IDENTIFICADOS O DERIVADOS AL SERVICIO DE TRABAJO SOCIAL;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;SEGURO DE VIDA Y ACCIDENTES PERSONALES PARA LAS Y LOS ESTUDIANTES DE LA ESPOCH;100%;
;;RECONOCIMIENTO DEL PROYECTO “POR UNA ESPOCH CON VALORES”;100%;
;;PERSIANAS INSTALADAS;1;
