TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio 
NACIONAL;355.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DEL CHIMBORAZO ESPOCH Y EL GOBIERNO AUTÓNOMO DESCENTRALIZADO PARROQUIAL RURAL DE PUNGALÁ;"18-06-2024









";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;376.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL  ENTRE EL GOBIERNO AUTÓNOMO DECENTRALIZADO DEL CANTÓN PENIPE Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"01-07-2024








";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;381.CP.2024;CONVENIO MARCO DE COOPERACION INTERINSTITUCIONAL ENTRE EL CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"10-07-2024







";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;397.CP.2024;"CONVENIO DE TRANSFERENCIA DE RECURSOS ENTRE EL FONDO DE INVESTIGACIÓN PARA LA AGROBIODIVERSIDAD, SEMILLAS Y AGRICULTURA SUSTENTABLE -FIASA Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO PARA LA EJECUCIÓN DEL PROYECTO “MICROBIOMA COMO ESTRATEGIA PARA MITIGAR FUTURAS PANDEMIAS VEGETALES, BUSCANDO UN MECANISMO DE RESILIENCIA EN PAPA Y MAIZ AL CAMBIO CLIMÁTICO EN LA PROVINCIA DEL
CHIMBORAZO";"19-06-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;411.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LAKEHEAD UNIVERSITY PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “RADIOACTIVIDAD NATURAL, PATRONES MAGNÉTICOS, EXPLORACIÓN DE VOLCANES NO ESTUDIADOS Y CORRELACIONES CON LA GEOLOGÍA DEL ECUADOR;"29/07/2024



";2 AÑOS Y 8 MESES;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;436.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LAKEHEAD UNIVERSITY PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “MODELO INTEGRADOR NBS APLICADO A SISTEMAS AGROECOLÓGICOS, COMO MECANISMO DE EVALUACIÓN DE CARBONO NEUTRO EN ECOSISTEMAS DEL ECUADOR;"29/07/2024
";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;634.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN: “ADVANCING CAMOUFLAGED OBJECT DETECTION WITH A COST EFFECTIVE CROSS-SPECTRAL VISION SYSTEM (ACOD-CS)”;22/11/2024;4 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;020.CP.2023;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO y LA ESCUELA POLITÉCNICA NACIONAL, (EPN) PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES;"30-01-2023








";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;022.CP.2023;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO “ESPOCH” Y LA UNIVERSIDAD NACIONAL DE COLOMBIA;"02/08/2023



";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;027.CP.2023;"CONVENIO ESPECIFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO ""ESPOCH""; EL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN RIOBAMBA Y LA CÁMARA DE OPERADORAS INDEPENDIENTES DE TAXIS DE LA CIUDAD DE RIOBAMBA COPITAR";"11/01/2023



";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
